,,,,,Electrical % Of Total,,,Natural Gas % Of Total,,
Full Service Restaurant,1900,1980,2B,"Phoenix, Arizona",23.20%,35.15%,41.64%,0.00%,29.42%,70.58%
Hospital,1900,1980,2B,"Phoenix, Arizona",18.54%,61.77%,19.68%,0.00%,90.45%,9.55%
Large Hotel,1900,1980,2B,"Phoenix, Arizona",12.50%,73.71%,13.79%,0.00%,77.86%,22.14%
Large Office Building,1900,1980,2B,"Phoenix, Arizona",29.09%,39.17%,31.73%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,2B,"Phoenix, Arizona",29.02%,45.86%,25.13%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,2B,"Phoenix, Arizona",23.28%,45.14%,31.59%,0.00%,100.00%,0.00%
Outpatient,1900,1980,2B,"Phoenix, Arizona",15.73%,57.62%,26.65%,0.00%,94.61%,5.39%
Primary School,1900,1980,2B,"Phoenix, Arizona",39.32%,35.23%,25.45%,0.00%,71.67%,28.33%
Quick Service Restaurant,1900,1980,2B,"Phoenix, Arizona",24.20%,23.42%,52.38%,0.00%,17.57%,82.43%
Secondary School,1900,1980,2B,"Phoenix, Arizona",31.93%,50.61%,17.47%,0.00%,83.95%,16.05%
Small Hotel,1900,1980,2B,"Phoenix, Arizona",42.21%,30.21%,27.58%,0.00%,58.63%,41.38%
Small Office,1900,1980,2B,"Phoenix, Arizona",32.74%,47.60%,19.65%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,2B,"Phoenix, Arizona",48.26%,43.24%,8.50%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,2B,"Phoenix, Arizona",55.32%,38.15%,6.53%,0.00%,100.00%,0.00%
Supermarket,1900,1980,2B,"Phoenix, Arizona",23.28%,18.03%,58.69%,0.00%,83.75%,16.25%
Warehouse,1900,1980,2B,"Phoenix, Arizona",52.41%,36.44%,11.15%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,3A,"Atlanta, Georgia",25.83%,28.01%,46.17%,0.00%,45.19%,54.81%
Hospital,1900,1980,3A,"Atlanta, Georgia",18.64%,61.58%,19.77%,0.00%,91.36%,8.64%
Large Hotel,1900,1980,3A,"Atlanta, Georgia",14.58%,69.35%,16.07%,0.00%,83.44%,16.56%
Large Office Building,1900,1980,3A,"Atlanta, Georgia",29.67%,37.96%,32.37%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,3A,"Atlanta, Georgia",33.53%,37.44%,29.03%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,3A,"Atlanta, Georgia",30.29%,28.61%,41.10%,0.00%,100.00%,0.00%
Outpatient,1900,1980,3A,"Atlanta, Georgia",16.82%,54.70%,28.48%,0.00%,95.10%,4.90%
Primary School,1900,1980,3A,"Atlanta, Georgia",46.22%,23.94%,29.84%,0.00%,86.23%,13.77%
Quick Service Restaurant,1900,1980,3A,"Atlanta, Georgia",26.53%,16.40%,57.07%,0.00%,33.37%,66.63%
Secondary School,1900,1980,3A,"Atlanta, Georgia",40.13%,37.99%,21.88%,0.00%,93.44%,6.57%
Small Hotel,1900,1980,3A,"Atlanta, Georgia",45.62%,24.58%,29.80%,0.00%,64.55%,35.45%
Small Office,1900,1980,3A,"Atlanta, Georgia",38.21%,38.86%,22.94%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,3A,"Atlanta, Georgia",54.34%,36.09%,9.58%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,3A,"Atlanta, Georgia",62.55%,30.07%,7.38%,0.00%,100.00%,0.00%
Supermarket,1900,1980,3A,"Atlanta, Georgia",23.29%,17.39%,59.32%,0.00%,90.83%,9.17%
Warehouse,1900,1980,3A,"Atlanta, Georgia",59.18%,28.24%,12.59%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,3C,"Los Angeles, California",28.66%,20.08%,51.26%,0.00%,30.00%,70.00%
Hospital,1900,1980,3C,"Los Angeles, California",20.43%,57.89%,21.68%,0.00%,90.24%,9.76%
Large Hotel,1900,1980,3C,"Los Angeles, California",16.14%,66.08%,17.78%,0.00%,82.02%,17.98%
Large Office Building,1900,1980,3C,"Los Angeles, California",32.75%,31.51%,35.73%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,3C,"Los Angeles, California",39.58%,26.15%,34.28%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,3C,"Los Angeles, California",36.20%,14.67%,49.14%,0.00%,100.00%,0.00%
Outpatient,1900,1980,3C,"Los Angeles, California",18.85%,49.22%,31.93%,0.00%,95.07%,4.93%
Primary School,1900,1980,3C,"Los Angeles, California",50.15%,17.47%,32.38%,0.00%,67.75%,32.25%
Quick Service Restaurant,1900,1980,3C,"Los Angeles, California",28.37%,10.55%,61.08%,0.00%,16.08%,83.92%
Secondary School,1900,1980,3C,"Los Angeles, California",46.02%,28.87%,25.10%,0.00%,82.43%,17.57%
Small Hotel,1900,1980,3C,"Los Angeles, California",48.47%,19.86%,31.67%,0.00%,63.92%,36.08%
Small Office,1900,1980,3C,"Los Angeles, California",42.51%,31.97%,25.53%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,3C,"Los Angeles, California",62.80%,26.13%,11.07%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,3C,"Los Angeles, California",70.70%,20.95%,8.34%,0.00%,100.00%,0.00%
Supermarket,1900,1980,3C,"Los Angeles, California",25.45%,9.16%,65.40%,0.00%,84.44%,15.56%
Warehouse,1900,1980,3C,"Los Angeles, California",74.87%,9.21%,15.93%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,3C,"San Francisco, California",29.76%,17.19%,53.05%,0.00%,44.15%,55.85%
Hospital,1900,1980,3C,"San Francisco, California",21.62%,55.46%,22.92%,0.00%,91.23%,8.77%
Large Hotel,1900,1980,3C,"San Francisco, California",20.14%,57.68%,22.18%,0.00%,84.44%,15.56%
Large Office Building,1900,1980,3C,"San Francisco, California",37.90%,20.76%,41.34%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,3C,"San Francisco, California",42.94%,19.88%,37.19%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,3C,"San Francisco, California",38.86%,8.40%,52.74%,0.00%,100.00%,0.00%
Outpatient,1900,1980,3C,"San Francisco, California",20.33%,45.23%,34.44%,0.00%,95.29%,4.71%
Primary School,1900,1980,3C,"San Francisco, California",54.16%,10.96%,34.88%,0.00%,83.02%,16.99%
Quick Service Restaurant,1900,1980,3C,"San Francisco, California",28.95%,9.12%,61.94%,0.00%,27.49%,72.51%
Secondary School,1900,1980,3C,"San Francisco, California",49.81%,23.09%,27.10%,0.00%,91.75%,8.25%
Small Hotel,1900,1980,3C,"San Francisco, California",52.03%,13.97%,34.00%,0.00%,66.53%,33.47%
Small Office,1900,1980,3C,"San Francisco, California",45.51%,27.17%,27.32%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,3C,"San Francisco, California",67.45%,20.67%,11.89%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,3C,"San Francisco, California",74.70%,16.48%,8.82%,0.00%,100.00%,0.00%
Supermarket,1900,1980,3C,"San Francisco, California",26.70%,9.60%,63.70%,0.00%,92.10%,7.90%
Warehouse,1900,1980,3C,"San Francisco, California",68.29%,17.19%,14.52%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,4A,"Baltimore, Maryland",26.87%,25.22%,47.91%,0.00%,56.37%,43.63%
Hospital,1900,1980,4A,"Baltimore, Maryland",18.77%,61.32%,19.90%,0.00%,92.19%,7.81%
Large Hotel,1900,1980,4A,"Baltimore, Maryland",16.23%,65.89%,17.88%,0.00%,85.66%,14.34%
Large Office Building,1900,1980,4A,"Baltimore, Maryland",30.77%,35.67%,33.57%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,4A,"Baltimore, Maryland",35.56%,33.64%,30.80%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,4A,"Baltimore, Maryland",32.01%,24.55%,43.44%,0.00%,100.00%,0.00%
Outpatient,1900,1980,4A,"Baltimore, Maryland",17.06%,54.02%,28.91%,0.00%,95.31%,4.69%
Primary School,1900,1980,4A,"Baltimore, Maryland",48.87%,19.63%,31.50%,0.00%,91.41%,8.59%
Quick Service Restaurant,1900,1980,4A,"Baltimore, Maryland",27.17%,14.63%,58.21%,0.00%,45.80%,54.20%
Secondary School,1900,1980,4A,"Baltimore, Maryland",42.83%,33.85%,23.32%,0.00%,96.00%,4.00%
Small Hotel,1900,1980,4A,"Baltimore, Maryland",46.31%,23.43%,30.26%,0.00%,66.89%,33.12%
Small Office,1900,1980,4A,"Baltimore, Maryland",40.10%,35.81%,24.08%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,4A,"Baltimore, Maryland",57.57%,32.28%,10.15%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,4A,"Baltimore, Maryland",65.81%,26.43%,7.77%,0.00%,100.00%,0.00%
Supermarket,1900,1980,4A,"Baltimore, Maryland",24.00%,18.17%,57.82%,0.00%,94.15%,5.85%
Warehouse,1900,1980,4A,"Baltimore, Maryland",57.44%,30.35%,12.22%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,4B,"Albuquerque, New Mexico",26.70%,25.70%,47.59%,0.00%,48.86%,51.14%
Hospital,1900,1980,4B,"Albuquerque, New Mexico",21.27%,56.19%,22.54%,0.00%,89.47%,10.53%
Large Hotel,1900,1980,4B,"Albuquerque, New Mexico",18.99%,60.09%,20.92%,0.00%,85.08%,14.92%
Large Office Building,1900,1980,4B,"Albuquerque, New Mexico",36.70%,23.26%,40.04%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,4B,"Albuquerque, New Mexico",35.17%,34.38%,30.46%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,4B,"Albuquerque, New Mexico",32.18%,24.13%,43.68%,0.00%,100.00%,0.00%
Outpatient,1900,1980,4B,"Albuquerque, New Mexico",16.70%,55.01%,28.29%,0.00%,94.70%,5.30%
Primary School,1900,1980,4B,"Albuquerque, New Mexico",49.35%,18.84%,31.81%,0.00%,87.83%,12.17%
Quick Service Restaurant,1900,1980,4B,"Albuquerque, New Mexico",27.26%,14.37%,58.37%,0.00%,37.25%,62.75%
Secondary School,1900,1980,4B,"Albuquerque, New Mexico",42.87%,33.79%,23.34%,0.00%,93.97%,6.03%
Small Hotel,1900,1980,4B,"Albuquerque, New Mexico",47.75%,21.05%,31.20%,0.00%,66.47%,33.54%
Small Office,1900,1980,4B,"Albuquerque, New Mexico",39.45%,36.86%,23.69%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,4B,"Albuquerque, New Mexico",58.18%,31.56%,10.25%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,4B,"Albuquerque, New Mexico",66.87%,25.24%,7.89%,0.00%,100.00%,0.00%
Supermarket,1900,1980,4B,"Albuquerque, New Mexico",24.82%,19.52%,55.66%,0.00%,92.49%,7.51%
Warehouse,1900,1980,4B,"Albuquerque, New Mexico",57.42%,30.38%,12.21%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,4C,"Seattle, Washington",29.36%,18.41%,52.24%,0.00%,54.79%,45.21%
Hospital,1900,1980,4C,"Seattle, Washington",21.18%,56.38%,22.44%,0.00%,92.32%,7.68%
Large Hotel,1900,1980,4C,"Seattle, Washington",22.12%,53.51%,24.36%,0.00%,86.17%,13.83%
Large Office Building,1900,1980,4C,"Seattle, Washington",39.19%,18.05%,42.76%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,4C,"Seattle, Washington",41.04%,23.41%,35.56%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,4C,"Seattle, Washington",37.48%,11.63%,50.90%,0.00%,100.00%,0.00%
Outpatient,1900,1980,4C,"Seattle, Washington",19.43%,47.64%,32.93%,0.00%,95.54%,4.46%
Primary School,1900,1980,4C,"Seattle, Washington",55.50%,8.78%,35.72%,0.00%,90.35%,9.65%
Quick Service Restaurant,1900,1980,4C,"Seattle, Washington",28.77%,9.82%,61.41%,0.00%,41.40%,58.60%
Secondary School,1900,1980,4C,"Seattle, Washington",50.28%,22.40%,27.32%,0.00%,95.91%,4.09%
Small Hotel,1900,1980,4C,"Seattle, Washington",51.47%,14.89%,33.64%,0.00%,67.98%,32.02%
Small Office,1900,1980,4C,"Seattle, Washington",44.38%,28.95%,26.66%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,4C,"Seattle, Washington",65.46%,23.00%,11.54%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,4C,"Seattle, Washington",73.56%,17.76%,8.68%,0.00%,100.00%,0.00%
Supermarket,1900,1980,4C,"Seattle, Washington",26.06%,14.31%,59.63%,0.00%,94.27%,5.73%
Warehouse,1900,1980,4C,"Seattle, Washington",63.73%,22.71%,13.57%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,5A,"Chicago, Illinois",27.98%,22.21%,49.81%,0.00%,62.58%,37.42%
Hospital,1900,1980,5A,"Chicago, Illinois",20.76%,57.23%,22.01%,0.00%,91.69%,8.31%
Large Hotel,1900,1980,5A,"Chicago, Illinois",17.83%,62.55%,19.63%,0.00%,87.18%,12.82%
Large Office Building,1900,1980,5A,"Chicago, Illinois",37.18%,22.27%,40.56%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,5A,"Chicago, Illinois",38.55%,28.07%,33.39%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,5A,"Chicago, Illinois",33.90%,20.09%,46.01%,0.00%,100.00%,0.00%
Outpatient,1900,1980,5A,"Chicago, Illinois",18.24%,50.85%,30.91%,0.00%,95.25%,4.75%
Primary School,1900,1980,5A,"Chicago, Illinois",52.58%,13.58%,33.84%,0.00%,92.24%,7.76%
Quick Service Restaurant,1900,1980,5A,"Chicago, Illinois",27.81%,12.75%,59.44%,0.00%,53.20%,46.80%
Secondary School,1900,1980,5A,"Chicago, Illinois",46.58%,28.10%,25.32%,0.00%,96.74%,3.26%
Small Hotel,1900,1980,5A,"Chicago, Illinois",46.68%,22.80%,30.51%,0.00%,68.69%,31.31%
Small Office,1900,1980,5A,"Chicago, Illinois",41.14%,34.16%,24.70%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,5A,"Chicago, Illinois",57.53%,32.33%,10.14%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,5A,"Chicago, Illinois",67.87%,24.12%,8.01%,0.00%,100.00%,0.00%
Supermarket,1900,1980,5A,"Chicago, Illinois",24.01%,20.16%,55.83%,0.00%,95.30%,4.70%
Warehouse,1900,1980,5A,"Chicago, Illinois",54.05%,34.45%,11.50%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,5B,"Boulder, Colorado",27.96%,22.31%,49.73%,0.00%,56.59%,43.41%
Hospital,1900,1980,5B,"Boulder, Colorado",22.35%,53.96%,23.69%,0.00%,89.19%,10.81%
Large Hotel,1900,1980,5B,"Boulder, Colorado",21.09%,55.70%,23.21%,0.00%,86.83%,13.17%
Large Office Building,1900,1980,5B,"Boulder, Colorado",39.53%,17.34%,43.13%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,5B,"Boulder, Colorado",38.09%,28.92%,32.99%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,5B,"Boulder, Colorado",35.06%,17.33%,47.60%,0.00%,100.00%,0.00%
Outpatient,1900,1980,5B,"Boulder, Colorado",17.84%,51.92%,30.24%,0.00%,94.64%,5.36%
Primary School,1900,1980,5B,"Boulder, Colorado",53.65%,11.82%,34.53%,0.00%,89.79%,10.21%
Quick Service Restaurant,1900,1980,5B,"Boulder, Colorado",27.92%,12.48%,59.59%,0.00%,45.77%,54.23%
Secondary School,1900,1980,5B,"Boulder, Colorado",48.03%,25.86%,26.11%,0.00%,95.57%,4.43%
Small Hotel,1900,1980,5B,"Boulder, Colorado",48.77%,19.35%,31.88%,0.00%,68.60%,31.40%
Small Office,1900,1980,5B,"Boulder, Colorado",41.28%,33.93%,24.79%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,5B,"Boulder, Colorado",58.51%,31.18%,10.31%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,5B,"Boulder, Colorado",69.07%,22.78%,8.15%,0.00%,100.00%,0.00%
Supermarket,1900,1980,5B,"Boulder, Colorado",24.77%,21.48%,53.75%,0.00%,94.17%,5.83%
Warehouse,1900,1980,5B,"Boulder, Colorado",54.12%,34.37%,11.51%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,6A,"Minneapolis, Minnesota",30.19%,16.12%,53.69%,0.00%,68.30%,31.70%
Hospital,1900,1980,6A,"Minneapolis, Minnesota",21.65%,55.41%,22.94%,0.00%,92.27%,7.73%
Large Hotel,1900,1980,6A,"Minneapolis, Minnesota",18.39%,61.36%,20.25%,0.00%,88.31%,11.69%
Large Office Building,1900,1980,6A,"Minneapolis, Minnesota",37.79%,20.98%,41.23%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,6A,"Minneapolis, Minnesota",39.28%,26.69%,34.03%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,6A,"Minneapolis, Minnesota",33.55%,20.90%,45.55%,0.00%,100.00%,0.00%
Outpatient,1900,1980,6A,"Minneapolis, Minnesota",18.12%,51.19%,30.70%,0.00%,95.49%,4.51%
Primary School,1900,1980,6A,"Minneapolis, Minnesota",53.83%,11.54%,34.63%,0.00%,93.83%,6.17%
Quick Service Restaurant,1900,1980,6A,"Minneapolis, Minnesota",27.87%,12.64%,59.48%,0.00%,59.50%,40.50%
Secondary School,1900,1980,6A,"Minneapolis, Minnesota",47.76%,26.29%,25.95%,0.00%,97.55%,2.45%
Small Hotel,1900,1980,6A,"Minneapolis, Minnesota",44.25%,26.84%,28.91%,0.00%,70.10%,29.90%
Small Office,1900,1980,6A,"Minneapolis, Minnesota",40.59%,35.02%,24.38%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,6A,"Minneapolis, Minnesota",56.42%,33.64%,9.94%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,6A,"Minneapolis, Minnesota",67.13%,24.95%,7.92%,0.00%,100.00%,0.00%
Supermarket,1900,1980,6A,"Minneapolis, Minnesota",23.86%,21.64%,54.50%,0.00%,96.14%,3.86%
Warehouse,1900,1980,6A,"Minneapolis, Minnesota",53.30%,35.36%,11.34%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,6B,"Helena, Montana",28.85%,19.92%,51.23%,0.00%,63.89%,36.11%
Hospital,1900,1980,6B,"Helena, Montana",23.15%,52.32%,24.53%,0.00%,90.80%,9.20%
Large Hotel,1900,1980,6B,"Helena, Montana",22.72%,52.27%,25.01%,0.00%,88.27%,11.73%
Large Office Building,1900,1980,6B,"Helena, Montana",40.98%,14.32%,44.71%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,6B,"Helena, Montana",38.99%,27.23%,33.78%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,6B,"Helena, Montana",35.57%,16.14%,48.29%,0.00%,100.00%,0.00%
Outpatient,1900,1980,6B,"Helena, Montana",18.33%,50.59%,31.07%,0.00%,95.13%,4.87%
Primary School,1900,1980,6B,"Helena, Montana",55.77%,8.38%,35.85%,0.00%,92.30%,7.70%
Quick Service Restaurant,1900,1980,6B,"Helena, Montana",28.27%,11.54%,60.18%,0.00%,54.28%,45.72%
Secondary School,1900,1980,6B,"Helena, Montana",49.83%,23.11%,27.05%,0.00%,96.94%,3.06%
Small Hotel,1900,1980,6B,"Helena, Montana",47.86%,20.86%,31.28%,0.00%,70.34%,29.66%
Small Office,1900,1980,6B,"Helena, Montana",41.07%,34.26%,24.67%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,6B,"Helena, Montana",57.09%,32.85%,10.06%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,6B,"Helena, Montana",68.47%,23.44%,8.08%,0.00%,100.00%,0.00%
Supermarket,1900,1980,6B,"Helena, Montana",24.61%,23.37%,52.02%,0.00%,95.56%,4.44%
Warehouse,1900,1980,6B,"Helena, Montana",52.68%,36.11%,11.21%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,7,"Duluth, Minnesota",31.34%,13.07%,55.59%,0.00%,72.66%,27.34%
Hospital,1900,1980,7,"Duluth, Minnesota",23.11%,52.42%,24.47%,0.00%,92.68%,7.32%
Large Hotel,1900,1980,7,"Duluth, Minnesota",22.20%,53.37%,24.43%,0.00%,89.65%,10.35%
Large Office Building,1900,1980,7,"Duluth, Minnesota",41.30%,13.63%,45.07%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,7,"Duluth, Minnesota",41.39%,22.76%,35.86%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,7,"Duluth, Minnesota",35.02%,17.42%,47.56%,0.00%,100.00%,0.00%
Outpatient,1900,1980,7,"Duluth, Minnesota",18.73%,49.52%,31.75%,0.00%,95.53%,4.47%
Primary School,1900,1980,7,"Duluth, Minnesota",56.50%,7.22%,36.28%,0.00%,94.78%,5.22%
Quick Service Restaurant,1900,1980,7,"Duluth, Minnesota",28.51%,10.90%,60.59%,0.00%,64.52%,35.48%
Secondary School,1900,1980,7,"Duluth, Minnesota",50.60%,21.95%,27.44%,0.00%,97.98%,2.02%
Small Hotel,1900,1980,7,"Duluth, Minnesota",44.14%,27.00%,28.86%,0.00%,72.17%,27.83%
Small Office,1900,1980,7,"Duluth, Minnesota",41.01%,34.36%,24.63%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,7,"Duluth, Minnesota",57.94%,31.85%,10.21%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,7,"Duluth, Minnesota",68.61%,23.29%,8.10%,0.00%,100.00%,0.00%
Supermarket,1900,1980,7,"Duluth, Minnesota",24.42%,23.09%,52.50%,0.00%,96.88%,3.12%
Warehouse,1900,1980,7,"Duluth, Minnesota",51.66%,37.34%,11.00%,0.00%,100.00%,0.00%
Full Service Restaurant,1900,1980,8,"Fairbanks, Alaska",28.48%,21.05%,50.47%,0.00%,79.26%,20.74%
Hospital,1900,1980,8,"Fairbanks, Alaska",25.88%,46.71%,27.41%,0.00%,94.68%,5.32%
Large Hotel,1900,1980,8,"Fairbanks, Alaska",26.98%,43.32%,29.70%,0.00%,91.25%,8.75%
Large Office Building,1900,1980,8,"Fairbanks, Alaska",42.78%,10.50%,46.71%,0.00%,100.00%,0.00%
Medium Office Building,1900,1980,8,"Fairbanks, Alaska",39.52%,26.19%,34.29%,0.00%,100.00%,0.00%
Midrise Apartment,1900,1980,8,"Fairbanks, Alaska",32.59%,23.08%,44.34%,0.00%,100.00%,0.00%
Outpatient,1900,1980,8,"Fairbanks, Alaska",17.82%,51.94%,30.24%,0.00%,96.33%,3.67%
Primary School,1900,1980,8,"Fairbanks, Alaska",56.71%,6.92%,36.37%,0.00%,97.15%,2.85%
Quick Service Restaurant,1900,1980,8,"Fairbanks, Alaska",28.05%,12.42%,59.53%,0.00%,74.30%,25.70%
Secondary School,1900,1980,8,"Fairbanks, Alaska",49.80%,23.22%,26.98%,0.00%,98.82%,1.18%
Small Hotel,1900,1980,8,"Fairbanks, Alaska",35.83%,40.72%,23.45%,0.00%,74.32%,25.68%
Small Office,1900,1980,8,"Fairbanks, Alaska",38.02%,39.10%,22.88%,0.00%,100.00%,0.00%
Standalone Retail,1900,1980,8,"Fairbanks, Alaska",52.60%,38.12%,9.28%,0.00%,100.00%,0.00%
Strip Mall,1900,1980,8,"Fairbanks, Alaska",60.76%,32.06%,7.18%,0.00%,100.00%,0.00%
Supermarket,1900,1980,8,"Fairbanks, Alaska",23.50%,28.26%,48.23%,0.00%,97.96%,2.04%
Warehouse,1900,1980,8,"Fairbanks, Alaska",46.07%,44.10%,9.83%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,1A,"Miami, Florida",22.72%,36.34%,40.94%,0.00%,18.27%,81.73%
Hospital,1981,2003,1A,"Miami, Florida",18.29%,62.29%,19.43%,0.00%,87.23%,12.77%
